Image Number,Center X,Center Y,StdDev Horizontal,Std Dev Vertical,
0,,,,,
59,93.31359188,216.1040838,0.618237701,2.897325933,
60,94.25152003,211.5127273,0.358870938,3.374833177,
61,94.64301786,213.3034423,0.841278395,3.062799586,
62,178.7915698,221.842599,0.620940525,2.727375108,
63,178.7793615,222.1382787,0.946339151,2.65755042,
64,178.9998276,224.6227623,0.61583784,4.559621449,
65,267.3253475,202.0759585,1.85039789,13.78987315,
66,267.6140114,206.8004802,1.867849351,1.710489483,
67,264.4386823,205.8818785,3.840233588,1.91476041,
73,274.5584796,203.6589219,4.505342013,7.217491136,
74,277.6065739,204.8403967,2.53813086,7.562467947,
75,273.475128,204.5665369,6.401795049,8.18811108,
77,350.1228767,205.4123371,5.43844845,2.525576348,
78,350.6271681,203.2043449,6.076846255,2.128968071,
79,353.5340449,203.7901342,5.894050026,2.029409224,
80,314.0476596,202.7447844,4.208062302,4.422405408,
81,303.4655309,200.20082,5.864841166,3.753278554,
82,309.7350728,199.2472142,6.146777379,3.229374023,
83,309.8136405,199.2700541,6.473807505,2.771201556,
84,131.8274832,250.45136,3.454262443,4.292952578,
85,130.5911362,251.9466741,5.088611576,3.864515618,
86,128.8594455,249.1550605,5.279052334,1.307516431,
87,129.6418099,249.7265599,5.674102334,2.163786429,
88,173.670631,256.7522595,5.866553313,5.378715369,
89,172.1209707,251.555845,6.337603661,2.552356252,
90,171.7976064,248.0992246,6.534417234,2.007986084,
91,175.4092531,250.5219813,4.288839034,0.449640845,
92,212.7821633,254.033097,4.812117576,1.782691476,
93,207.3837324,254.5046734,0.604104252,3.278464481,
94,205.878535,255.4463699,1.55981283,2.705140417,
95,215.1501942,255.6424315,6.824346381,1.148906305,
96,255.9885149,253.6259804,6.494243171,2.421806172,
97,255.9826219,253.3646297,6.468647931,2.314616274,
98,256.1173538,253.322848,6.512173805,2.525898973,
99,256.2712916,253.7108958,6.57082344,2.465309527,
100,298.0833418,255.112182,6.687485235,2.531228209,
101,298.2465484,254.6691023,6.972265463,2.244339125,
102,298.0574205,254.6292176,6.694673144,2.290234567,
103,298.2353999,255.3627222,6.715087555,2.480896289,
104,338.9662203,251.6682432,4.494612613,2.181306735,
105,338.561305,252.5513452,5.899400221,2.549982168,
107,338.2423486,252.9079453,5.969934008,2.233318369,
108,338.5868489,250.286223,5.33707157,4.858284282,
113,277.5107012,307.0031736,3.046533561,4.079715047,
114,255.1425714,309.5914535,2.510342558,4.047091188,
115,163.3300795,311.0088971,1.739802853,2.119176746,
116,280.0267197,310.1878877,3.540974806,3.241557011,
117,309.0100015,310.4995789,2.279200941,3.89632061,
118,308.5100407,310.6270883,2.394103014,3.880968022,
119,308.7154325,310.6634883,2.330905714,3.520600361,
120,308.2952932,310.4657549,2.470183202,3.733393577,
121,343.0092421,313.7186642,2.116047292,4.058166847,
122,349.1493542,314.0310377,2.329671674,2.776838945,
123,349.1687586,313.2820578,2.324583878,3.911303408,
124,349.4798254,312.2673706,2.167920266,2.618473133,
125,447.2714051,317.0089575,2.288747629,2.283465886,
126,502.0743419,314.9331407,1.859257159,5.638134747,
