"Camera module mounted on Albert's calibration mount, bolted to grid board. Grid board is not fixed to table. Table will not be moved due to impracticality of moving table."										
Laser module is mounted to rails. Distance between camera and laser can be changed. Rail and centerline of camera mount are aligned with laser										
"Imprecision in laesr mount and rail installation are significant in location of crosshairs. At beginning of each DX iteration, we will change location of camera module to capture crosshairs. "										
Rotation of either module is not changed. 										
										
Independent variable: Distance between modules										
		"Camera <Ax,Ay,Az> not of concern"								"Accelerometer axes are: x facing other module, z vertical, y accordingly determined"
DX	Img file	Phone deg (mount slab)	Novo 1 [in]	Novo 2 [in]	Novo 3 [in]	Novo 4 [in]	Pixel_X	Pixel_Y		Novo's represent differential displacements of camera module in Albert's mount. 
8.5	59	0.7	0	0	0	0	-1	-1		"Facing Laser module, behind camera module,  [LR, UR, UL, LL] = Novo [1,2,3,4]"
8.5	60	0.7	0	0	0	0	-1	-1		
8.5	61	0.7	0	0	0	0	-1	-1		
8.5	62	0.5	-0.501	-0.502	-0.501	-0.503	-1	-1		
8.5	63	0.5	-0.501	-0.502	-0.501	-0.503	-1	-1		
8.5	64	0.5	-0.501	-0.502	-0.501	-0.503	-1	-1		
8.5	65	0.7	-1.007	-1.005	-1.001	-1.008	-1	-1		
8.5	66	0.7	-1.007	-1.005	-1.001	-1.008	-1	-1		
8.5	67	0.7	-1.007	-1.005	-1.001	-1.008	-1	-1		
8.5	73	0.7	-1.007	-1.005	-1.001	-1.008	-1	-1		
8.5	74	0.7	-1.007	-1.005	-1.001	-1.008	-1	-1		
8.5	75	0.7	-1.007	-1.005	-1.001	-1.008	-1	-1		
8.5	77	0.8	-1.513	-1.509	-1.504	-1.512	-1	-1		
8.5	78	0.8	-1.513	-1.509	-1.504	-1.512	-1	-1		
8.5	79	0.8	-1.513	-1.509	-1.504	-1.512	-1	-1		
8.5	80	0.6	-1.256	-1.255	-1.253	-1.26	310.7142857	198.5714286		
8.5	81	0.6	-1.256	-1.255	-1.253	-1.26	313.7777778	199.6		
8.5	82	0.6	-1.256	-1.255	-1.253	-1.26	313	198.1		
8.5	83	0.6	-1.256	-1.255	-1.253	-1.26	313.333333	197.8		
8	84	0.3	0	0	0	0	130.777778	244		
8	85	0.3	0	0	0	0	129.33333	245.6363636		
8	86	0.3	0	0	0	0	129.2857143	249.4285714		
8	87	0.3	0	0	0	0	130.8888889	246.7272727		
8	88	0.4	-0.255	-0.251	-0.251	-0.252	174.625	249.375		
8	89	0.4	-0.255	-0.251	-0.251	-0.252	172.6666667	247.8181818		
8	90	0.4	-0.255	-0.251	-0.251	-0.252	172.8888889	249.2727273		
8	91	0.4	-0.255	-0.251	-0.251	-0.252	177.1428571	248		
8	92	0.5	-0.505	-0.5	-0.502	-0.506	213.8888889	249.1		
8	93	0.5	-0.505	-0.5	-0.502	-0.506	211	252.3636364		
8	94	0.5	-0.505	-0.5	-0.502	-0.506	210.7777778	259		
8	95	0.5	-0.505	-0.5	-0.502	-0.506	212.5	255.75		
8	96	0.2	-0.753	-0.755	-0.756	-0.752	255.5555556	253.7		
8	97	0.2	-0.753	-0.755	-0.756	-0.752	256.3333333	253.9		
8	98	0.2	-0.753	-0.755	-0.756	-0.752	256.1111111	254.1		
8	99	0.2	-0.753	-0.755	-0.756	-0.752	256.4444444	254.1		
8	100	0.3	-1.004	-1.007	-1.006	-1.001	297.8888889	252.8		
8	101	0.3	-1.004	-1.007	-1.006	-1.001	298.6666667	252.8		
8	102	0.3	-1.004	-1.007	-1.006	-1.001	298.1111111	253.4545455		
8	103	0.3	-1.004	-1.007	-1.006	-1.001	298	252.8		
8	104	0.4	-1.251	-1.251	-1.253	-1.254	334.4444444	247.75		
8	105	0.4	-1.251	-1.251	-1.253	-1.254	339.5555556	250.8181818		
8	107	0.4	-1.251	-1.251	-1.253	-1.254	338.7777778	250.1818182		
8	108	0.4	-1.251	-1.251	-1.253	-1.254	336.8888889	246.4166667		
7.5	113	0.1	0	0	0	0	270.8888889	306.8333333		
7.5	114	0.1	0	0	0	0	272	306.1666667		
7.5	115	0.1	0	0	0	0	272.8571429	308.8888889		
7.5	116	0.1	0	0	0	0	271.125	306		
7.5	117	0.3	-0.255	-0.251	-0.253	-0.25	313.5555556	307.4545455		
7.5	118	0.3	-0.255	-0.251	-0.253	-0.25	313.1111111	306.75		
7.5	119	0.3	-0.255	-0.251	-0.253	-0.25	312.8888889	307.9090909		
7.5	120	0.3	-0.255	-0.251	-0.253	-0.25	313.2222222	305.6666667		
7.5	121	0.3	-0.503	-0.5	-0.503	-0.501	350.6666667	310.7777778		
7.5	122	0.3	-0.503	-0.5	-0.503	-0.501	354.8888889	311.2727273		
7.5	123	0.3	-0.503	-0.5	-0.503	-0.501	355	307.7272727		
7.5	124	0.3	-0.503	-0.5	-0.503	-0.501	355.1111111	307.1818182		
7.5	125	0.2	-1.009	-1.006	-1.005	-1.002	442.8571429	314.8571429		
7.5	126	0.2	-1.009	-1.006	-1.005	-1.002	437.1111111	314.8333333		
7.5	127	0.2	-1.009	-1.006	-1.005	-1.002	436.1111111	316.8181818		
7.5	128	0.2	-1.009	-1.006	-1.005	-1.002	440.25	318.7		
7.5	129	0.3	-1.251	-1.252	-1.249	-1.252	477	315.9166667		
7.5	130	0.3	-1.251	-1.252	-1.249	-1.252	477.7777778	316.8333333		
7.5	131	0.3	-1.251	-1.252	-1.249	-1.252	477.1111111	317.5454545		
7.5	132	0.3	-1.251	-1.252	-1.249	-1.252	481.75	316.5555556		
7	133	0.2	-0.5	-0.5	-0.503	-0.502	63.375	292.4166667	Moved camera module horizontally to capture crosshairs	
7	134	0.2	-0.5	-0.5	-0.503	-0.502	91.85714286	290.4444444	Not beginning at 0 in order to capture crosshairs. Tared to 0 initially. 	
7	135	0.2	-0.5	-0.5	-0.503	-0.502	90.25	293.0909091		
7	136	0.2	-0.5	-0.5	-0.503	-0.502	62.75	291.6666667		
7	137	0.3	-0.752	-0.751	-0.756	-0.754	126.4444444	290.875		
7	138	0.3	-0.752	-0.751	-0.756	-0.754	103.2222222	294.9166667		
7	139	0.3	-0.752	-0.751	-0.756	-0.754	103.1111111	295.4166667		
7	140	0.3	-0.752	-0.751	-0.756	-0.754	103.75	291.3333333		
7	141	0.4	-0.852	-0.849	-0.854	-0.852	120.5714286	295.6666667		
7	142	0.4	-0.852	-0.849	-0.854	-0.852	123	294.9166667		
7	143	0.4	-0.852	-0.849	-0.854	-0.852	121	294.9166667		
7	144	0.4	-0.852	-0.849	-0.854	-0.852	121.1111111	295		
7	145	0.3	-1.001	-1	-1.004	-0.994	146.6666667	293.6		
7	146	0.3	-1.001	-1	-1.004	-0.994	148.375	292.2		
7	147	0.3	-1.001	-1	-1.004	-0.994	147.2222222	293.1		
7	148	0.3	-1.001	-1	-1.004	-0.994	146.7777778	293.5		
7	149	0.3	-1.251	-1.25	-1.253	-1.252	186	296.5454545		
7	150	0.3	-1.251	-1.25	-1.253	-1.252	186.8888889	296.0909091		
7	151	0.3	-1.251	-1.25	-1.253	-1.252	185.6666667	295.8181818		
7	152	0.3	-1.251	-1.25	-1.253	-1.252	185.7777778	295.5454545		
5	153	0.3	0	0	0	0	184.75	327.2727273		
5	154	0.3	0	0	0	0	184.7777778	327		
5	155	0.3	0	0	0	0	185.2222222	327		
5	156	0.3	0	0	0	0	184.7777778	327.75		
5	157	0.2	-0.251	-0.25	-0.254	-0.251	227.5555556	327.1666667		
5	158	0.2	-0.251	-0.25	-0.254	-0.251	226.3333333	327		
5	159	0.2	-0.251	-0.25	-0.254	-0.251	227.2222222	328.2727273		
5	160	0.2	-0.251	-0.25	-0.254	-0.251	226	327.0833333		
5	161	0.1	-0.503	-0.503	-0.506	-0.502	270.4444444	329.3636364		
5	162	0.1	-0.503	-0.503	-0.506	-0.502	269.2222222	328.5833333		
5	163	0.1	-0.503	-0.503	-0.506	-0.502	271	329		
5	164	0.1	-0.503	-0.503	-0.506	-0.502	270.3333333	330.1818182		
5	165	0.2	-0.75	-0.749	-0.753	-0.749	310.6666667	306.9166667		
5	166	0.2	-0.75	-0.749	-0.753	-0.749	309.8888889	329.9090909		
5	167	0.2	-0.75	-0.749	-0.753	-0.749	310.8888889	330		
5	168	0.2	-0.75	-0.749	-0.753	-0.749	310.2222222	329.9090909		
5	169	0.2	-1.253	-1.25	-1.253	-1.25	392.3333333	332.3636364		
5	170	0.2	-1.253	-1.25	-1.253	-1.25	393.3333333	330.0833333		
5	171	0.2	-1.253	-1.25	-1.253	-1.25	393.5	332.4545455		
5	172	0.2	-1.253	-1.25	-1.253	-1.25	393.25	332.3636364		
6	173	0.2	0	0	0	0	181	150.0909091		
6	174	0.2	0	0	0	0	179.1111111	149.4545455	stood in front of camera	
6	175	0.2	0	0	0	0	180.2222222	150.1818182		
6	176	0.2	0	0	0	0	179.4444444	149.2727273		
6	177	0.3	-0.253	-0.25	-0.253	-0.251	222.3333333	153		
6	178	0.3	-0.253	-0.25	-0.253	-0.251	222.6666667	152.4444444		
6	179	0.3	-0.253	-0.25	-0.253	-0.251	222.4444444	152.1111111		
6	180	0.3	-0.253	-0.25	-0.253	-0.251	223.8888889	152.2222222		
6	181	0	-0.5	-0.502	-0.507	-0.503	265	155.6363636		
6	182	0	-0.5	-0.502	-0.507	-0.503	264.8888889	141.9090909		
6	183	0	-0.5	-0.502	-0.507	-0.503	264.5555556	154.6363636		
6	184	0	-0.5	-0.502	-0.507	-0.503	263.8888889	154.5454545		
6	185	0.2	-0.751	-0.751	-0.75	-0.757	306.8888889	153.6363636		
6	186	0.2	-0.751	-0.751	-0.75	-0.757	307	153.1		
6	187	0.2	-0.751	-0.751	-0.75	-0.757	306	153.8181818		
6	188	0.2	-0.751	-0.751	-0.75	-0.757	306.5555556	154.5		
6	189	0.2	-1.253	-1.253	-1.255	-1.252	389	157.6363636		
6	190	0.2	-1.253	-1.253	-1.255	-1.252	390	156.0909091		
6	191	0.2	-1.253	-1.253	-1.255	-1.252	388.7777778	157.1		
6	192	0.2	-1.253	-1.253	-1.255	-1.252	388.8888889	157.0909091		
